G, MW	esc 1	esc 2	esc 3	esc 4	esc 5	esc 6	esc 7	esc 8	esc 9	esc 10	esc 11	esc 12	esc 13	esc 14	e_ave
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	2.4	0.0	0.0	0.0	2.1	0.0	0.0
5	0.0	0.0	0.0	1.1	2.3	3.8	0.0	4.9	0.0	1.3	0.0	1.2	2.1	0.0	1.2
6	0.0	0.0	0.0	1.9	5.1	4.3	1.2	3.0	3.0	0.6	2.1	1.8	2.5	3.9	2.1
7	0.0	0.0	1.7	2.8	4.7	4.7	1.4	2.9	3.7	1.6	2.8	2.0	2.1	5.3	2.6
8	0.0	0.0	1.9	2.5	7.1	5.4	5.4	5.8	3.8	2.0	4.1	4.7	1.5	1.2	3.3
9	0.0	0.0	1.3	3.9	6.1	5.9	5.4	7.2	3.1	3.7	4.5	5.8	3.9	2.4	3.8
10	0.0	0.0	1.2	1.6	2.7	4.1	2.3	5.7	2.2	6.3	2.6	3.4	2.4	3.2	2.7
11	0.0	0.0	0.0	1.5	1.0	0.0	0.0	0.0	0.0	2.6	0.0	0.0	0.0	1.3	0.0
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	5.0	10.6	1.9	0.7	6.4	1.4	11.2	4.9	16.1	1.9	3.0	0.0	5.8	5.2	5.3
14	30.3	32.2	20.8	19.6	31.5	36.4	18.3	18.9	36.1	21.3	11.5	14.9	22.2	18.4	23.7
15	42.2	41.3	31.3	35.4	43.4	43.5	18.5	31.8	41.6	31.0	28.5	34.2	37.0	29.9	35.0
16	42.8	42.2	34.2	41.7	43.6	42.9	18.5	38.8	42.1	32.8	35.0	38.7	38.1	34.1	37.5
17	43.3	40.9	37.4	41.9	43.1	42.8	35.8	41.0	41.5	34.0	34.5	39.6	39.5	38.2	39.6
18	43.3	39.1	38.8	42.0	41.9	42.5	42.9	41.2	37.2	33.1	33.9	38.5	38.7	39.0	39.4
19	43.2	38.2	37.2	41.6	42.0	43.5	42.0	39.9	32.3	34.0	34.3	38.0	37.5	38.1	38.7
20	43.4	37.8	39.8	41.1	41.2	43.0	39.0	39.1	28.6	25.2	38.0	35.7	41.4	32.8	37.6
21	40.8	27.6	26.5	32.8	25.7	36.7	30.8	35.1	15.8	21.5	24.2	21.8	35.2	25.0	28.5
22	27.2	15.4	13.7	18.1	18.5	18.4	27.4	19.6	15.2	25.0	14.2	10.1	6.7	20.2	17.8
23	7.8	3.0	5.3	2.9	2.5	1.3	8.4	10.4	7.0	10.0	3.1	0.0	1.0	9.0	5.1
24	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	0.0	1.1	0.0
